car id,Car VIN,car make,model,fuel,Amount of trips,license plate,Driver name
9566076640,WBANV13558C049674,Porsche,911,lpg,663,27-gm-80,Dela Moret
391888887,3VW467AT9DM889219,Hyundai,Tiburon,electric,837,14-ya-88,Abbe Tregunna
2363911948,WAUVFAFH8AN461116,Aston Martin,V8 Vantage,lpg,459,51-ao-41,Felecia McCloid
6954792134,3N1CN7AP8EL386814,Toyota,Matrix,electric,113,61-dw-16,Eliza Quemby
8683829534,JTHKD5BH7B2588577,Mazda,RX-7,petrol,553,78-nv-59,Melania Treen
3503173367,WBAUN1C56AV066540,Mercury,Mystique,lpg,3,58-na-24,Cobb Ackers
5074739276,KMHHU6KJ2FU366877,Ford,Transit Connect,petrol,47,64-ij-55,Josselyn Hardwick
7804479408,1D7RW2GK8BS095395,Lincoln,LS,lpg,94,61-bk-81,Patrica Bane
7282741502,WA1BV74L58D214200,Ford,E150,electric,103,33-zl-42,Jodee Gonet
962148871,WA1DGBFEXED360138,Chevrolet,TrailBlazer,diesel,857,83-ih-17,Brady Wagnerin
1435890219,JTEBU5JR8E5163024,Pontiac,Sunbird,petrol,421,68-hi-44,Kizzee Lorentz
8492165209,WAUDFAFL0FN626423,Suzuki,X-90,lpg,889,07-uj-49,Leonhard Franies
7754559254,3N1BC1CP5CK392553,Land Rover,Discovery,electric,88,75-ii-30,Klarrisa Gourley
3934484269,JN8AZ2KR4BT365742,Toyota,FJ Cruiser,diesel,145,93-ga-45,Sissie Vasyuchov
6828016363,1G4GE5G33FF152885,Aston Martin,DBS,diesel,264,65-sy-12,Demetris Petteford
6242257871,1G6DH1E36E0863883,Mazda,MX-6,electric,486,40-mj-03,Aleece Menchenton
2999171535,WBAPM5C53BA297718,Lotus,Esprit,diesel,293,30-qz-69,Almeria Petroff
1427799102,WVGAV3AX0DW726183,Ford,Thunderbird,diesel,946,30-oh-89,Marney Selburn
1425428571,WA1LMAFE3AD457870,BMW,M6,lpg,394,88-tz-85,Fredia Sherwill
2746405945,5UXWY3C54F0653711,Geo,Tracker,diesel,97,13-br-28,Marline Nealy
1852531227,WA1AGBFE9CD981676,Eagle,Talon,lpg,580,13-vu-98,Ed Iacobacci
4251180052,JHMGE8G37CC672198,Pontiac,6000,diesel,702,60-wz-73,Ibbie Graith
1539041037,19UUA56773A917985,Porsche,911,diesel,258,50-vb-71,Brit Hydes
2723935659,2C3CDXEJ4DH096457,Mitsubishi,Sigma,diesel,444,34-xj-65,Marshall Rampley
6357451148,1C3CC4FB7AN854030,Chrysler,Sebring,diesel,893,08-jq-41,Stafford Bielby
7779402349,WBABN33401J714827,Isuzu,Ascender,electric,550,44-bs-98,Bat Ewebank
9833761449,3C4PDCGBXFT882799,Dodge,Neon,lpg,451,02-zp-57,Gasper Lawes
9480980456,KNADM4A33C6174603,Mitsubishi,Montero,diesel,318,38-le-89,Cordelie Readwood
5296452849,KL4CJGSB1DB477140,GMC,Sierra Denali,petrol,713,39-rp-22,Margaretha Vardon
9522894346,WBAYF4C57FD898837,Chevrolet,TrailBlazer,diesel,588,93-dx-83,Adam Stonehewer
2911703646,JM1CW2BL8C0999020,Mitsubishi,Pajero,electric,239,70-af-59,Mariam Wretham
531433712,4JGDA0EB9FA171112,Chrysler,PT Cruiser,petrol,577,01-up-85,Judon Heighway
9605261895,5GAKVCKDXFJ534848,Pontiac,Parisienne,lpg,408,21-bk-71,Elijah Baylie
3837552232,2HNYD18812H686873,Chrysler,Crossfire,electric,24,91-bs-15,Hailee Thieme
2462286363,5NPDH4AE7BH638294,Volkswagen,rio,petrol,979,55-mp-10,Corny Scedall
9245414460,WBALM7C51EJ598986,Nissan,Xterra,diesel,213,47-xc-56,Lawton Curuclis
1872583426,1FTEW1CF2FK319825,Hyundai,Tucson,petrol,361,02-il-62,Lanie Trounson
6070473691,SCBLC47J17C668461,Mazda,MX-3,petrol,828,43-tq-10,Antonie Heinsius
217371440,1D7RV1GT2BS946242,Jeep,Liberty,lpg,248,87-gp-31,Morten Gainseford
2252161150,SAJWA2GT2EM353747,Ford,Crown Victoria,lpg,876,88-zo-06,Bibi Forsaith
4772156703,JTHBK1GG7D1528077,BMW,6 Series,electric,967,45-ub-14,Julie Jellis
7692805938,KMHCM3AC6AU427524,Mitsubishi,Truck,lpg,408,48-gu-34,Dania BoHlingolsen
3272531580,JTHBL5EF2D5692599,Honda,Prelude,diesel,717,61-lz-96,Jazmin Howell
469625631,1GD11ZCG7BF932755,Toyota,Sequoia,electric,906,71-uh-12,Upton Rossetti
6545750585,1C4RDHDG8CC246573,BMW,760,petrol,42,13-op-44,Annnora Schott
2488700172,WAUEF78E56A469887,Land Rover,Defender 110,petrol,789,91-nk-82,Haven Matfin
8417164072,1B3CB5HA3AD478863,Pontiac,Solstice,diesel,869,00-rm-69,Beverie Glyssanne
7841614781,WAUXL68E85A135038,Lincoln,Continental Mark VII,electric,634,80-qb-70,Saba Swainsbury
6983258799,WBAUP9C55DV876383,Chevrolet,Camaro,electric,601,28-yx-98,Colleen Fabbri
1845893273,WA1YL64B84N837395,Toyota,Camry,diesel,418,70-bt-54,Pasquale Leggate
9417434110,19XFB4F24EE308016,Dodge,Viper,petrol,13,14-ub-75,Benoite MacChaell
469072811,JN1CV6EK4BM544835,Nissan,Versa,diesel,487,63-ur-41,Manya Cozby
6595999373,3D73M3CL0BG135315,Dodge,Stratus,petrol,204,79-xs-73,Drusi Neat
5157579408,SCFFBCCD3BG956587,Ford,Econoline E350,lpg,66,66-vt-51,Dore Cridlan
284815318,1G6KD57Y42U094288,Saturn,Outlook,electric,608,76-wo-43,Piper Monckton
9571916257,WBA3B1G54FN435241,Acura,Legend,diesel,608,65-tn-60,Nevile Krebs
650126474,1N6AA0CA8FN735856,Lincoln,MKX,petrol,141,46-jv-34,Timmi MacCaffery
5022585008,WBAEV334X2P017306,Dodge,Viper,petrol,637,37-tn-26,Kara Jell
5371818001,1FTEX1CM2BF844849,Mercedes-Benz,S-Class,lpg,637,62-dy-63,Tierney Ajsik
4591270677,WBAFU9C5XCD454485,Ferrari,430 Scuderia,electric,463,72-kf-65,Rickert Brace
6775722532,WA1DGAFE1FD630336,Cadillac,Escalade,petrol,310,07-ar-00,Ailey O'Scully
668675284,WBASP2C52BC155610,Ford,Edge,diesel,757,05-qk-83,Ursa Doole
9782163024,WAUNF78P98A678649,Lexus,SC,petrol,621,81-rz-80,Tomasine Pattingson
172487495,1YVHZ8BH0D5774844,Ford,Bronco,petrol,862,47-lp-99,Arch Sultan
8377092837,1N6AF0KX5EN680448,Mitsubishi,Pajero,lpg,730,74-ml-09,Bowie Millott
1225913307,5UXFB93522L330951,Maserati,Coupe,diesel,894,91-hg-29,Allyson Eich
1437789883,2G4WD562151620559,Hyundai,Accent,lpg,244,41-uy-67,Gilda Portsmouth
3491490652,1FMJK1G5XAE359620,Toyota,Tundra,diesel,53,35-jl-28,Sam Beseke
297788636,2C3CCAKG6FH817714,Audi,Cabriolet,petrol,850,35-gc-57,Abram Stangroom
1237877255,WDDLJ7DB9DA617899,Mazda,B-Series,electric,137,00-ms-30,Cleo Choldcroft
4942535174,5N1AT2MK2FC907354,Mitsubishi,Eclipse,diesel,875,49-xc-19,Elton Klimes
8888719965,SCBCR63W05C167103,Audi,S8,diesel,727,49-oo-15,Moreen Luard
418201778,KMHHU6KJ1FU917932,Cadillac,Escalade EXT,lpg,381,38-rb-98,Albert Scriviner
2798192510,WBASN4C51AC835417,Jeep,Wrangler,petrol,4,76-dw-06,Gerrard Belcham
4006353393,1C4RDJDG6EC792881,Mazda,MX-5,diesel,531,59-wo-46,Gearalt Roon
4046207337,WAUKH98E97A003339,Lexus,SC,diesel,836,04-xn-19,Bibbie Walesa
9817074974,WAULC68E63A873335,Saturn,Ion,diesel,100,06-fq-84,Jesus Brussels
1165742224,WAUHF78P88A547967,Dodge,Ram 3500,lpg,915,39-eb-11,Cori Shewon
778505639,3VW517AT5EM091613,Nissan,Xterra,lpg,361,79-na-82,Ulrich Shemmin
7687155756,1FTEX1C82AF767191,Chevrolet,Suburban 2500,lpg,685,12-aw-95,Celisse Duff
