external_id,name,license_plate_number,make_name,model_name,fuel_type,body_type
1425428571,Fredia Sherwill,88-tz-85,BMW,M6,lpg,
2746405945,Marline Nealy,13-br-28,Geo,Tracker,diesel,
1852531227,Ed Iacobacci,13-vu-98,Eagle,Talon,lpg,
4251180052,Ibbie Graith,60-wz-73,Pontiac,6000,diesel,
1539041037,Brit Hydes,50-vb-71,Porsche,911,diesel,
2723935659,Marshall Rampley,34-xj-65,Mitsubishi,Sigma,diesel,
6357451148,Stafford Bielby,08-jq-41,Chrysler,Sebring,diesel,
7779402349,Bat Ewebank,44-bs-98,Isuzu,Ascender,electric,
9833761449,Gasper Lawes,02-zp-57,Dodge,Neon,lpg,
9480980456,Cordelie Readwood,38-le-89,Mitsubishi,Montero,diesel,
5296452849,Margaretha Vardon,39-rp-22,GMC,Sierra Denali,petrol,
9522894346,Adam Stonehewer,93-dx-83,Chevrolet,TrailBlazer,diesel,
2911703646,Mariam Wretham,70-af-59,Mitsubishi,Pajero,electric,
531433712,Judon Heighway,01-up-85,Chrysler,PT Cruiser,petrol,
9605261895,Elijah Baylie,21-bk-71,Pontiac,Parisienne,lpg,
3837552232,Hailee Thieme,91-bs-15,Chrysler,Crossfire,electric,
2462286363,Corny Scedall,55-mp-10,Volkswagen,rio,petrol,
9245414460,Lawton Curuclis,47-xc-56,Nissan,Xterra,diesel,
1872583426,Lanie Trounson,02-il-62,Hyundai,Tucson,petrol,
6070473691,Antonie Heinsius,43-tq-10,Mazda,MX-3,petrol,
217371440,Morten Gainseford,87-gp-31,Jeep,Liberty,lpg,
2252161150,Bibi Forsaith,88-zo-06,Ford,Crown Victoria,lpg,
4772156703,Julie Jellis,45-ub-14,BMW,6 Series,electric,
7692805938,Dania BoHlingolsen,48-gu-34,Mitsubishi,Truck,lpg,
3272531580,Jazmin Howell,61-lz-96,Honda,Prelude,diesel,
469625631,Upton Rossetti,71-uh-12,Toyota,Sequoia,electric,
6545750585,Annnora Schott,13-op-44,BMW,760,petrol,
2488700172,Haven Matfin,91-nk-82,Land Rover,Defender 110,petrol,
8417164072,Beverie Glyssanne,00-rm-69,Pontiac,Solstice,diesel,
7841614781,Saba Swainsbury,80-qb-70,Lincoln,Continental Mark VII,electric,
6983258799,Colleen Fabbri,28-yx-98,Chevrolet,Camaro,electric,
1845893273,Pasquale Leggate,70-bt-54,Toyota,Camry,diesel,
9417434110,Benoite MacChaell,14-ub-75,Dodge,Viper,petrol,
469072811,Manya Cozby,63-ur-41,Nissan,Versa,diesel,
6595999373,Drusi Neat,79-xs-73,Dodge,Stratus,petrol,
5157579408,Dore Cridlan,66-vt-51,Ford,Econoline E350,lpg,
284815318,Piper Monckton,76-wo-43,Saturn,Outlook,electric,
9571916257,Nevile Krebs,65-tn-60,Acura,Legend,diesel,
650126474,Timmi MacCaffery,46-jv-34,Lincoln,MKX,petrol,
5022585008,Kara Jell,37-tn-26,Dodge,Viper,petrol,
5371818001,Tierney Ajsik,62-dy-63,Mercedes-Benz,S-Class,lpg,
4591270677,Rickert Brace,72-kf-65,Ferrari,430 Scuderia,electric,
6775722532,Ailey O'Scully,07-ar-00,Cadillac,Escalade,petrol,
668675284,Ursa Doole,05-qk-83,Ford,Edge,diesel,
9782163024,Tomasine Pattingson,81-rz-80,Lexus,SC,petrol,
172487495,Arch Sultan,47-lp-99,Ford,Bronco,petrol,
8377092837,Bowie Millott,74-ml-09,Mitsubishi,Pajero,lpg,
1225913307,Allyson Eich,91-hg-29,Maserati,Coupe,diesel,
1437789883,Gilda Portsmouth,41-uy-67,Hyundai,Accent,lpg,
3491490652,Sam Beseke,35-jl-28,Toyota,Tundra,diesel,
297788636,Abram Stangroom,35-gc-57,Audi,Cabriolet,petrol,
1237877255,Cleo Choldcroft,00-ms-30,Mazda,B-Series,electric,
4942535174,Elton Klimes,49-xc-19,Mitsubishi,Eclipse,diesel,
8888719965,Moreen Luard,49-oo-15,Audi,S8,diesel,
418201778,Albert Scriviner,38-rb-98,Cadillac,Escalade EXT,lpg,
2798192510,Gerrard Belcham,76-dw-06,Jeep,Wrangler,petrol,
4006353393,Gearalt Roon,59-wo-46,Mazda,MX-5,diesel,
4046207337,Bibbie Walesa,04-xn-19,Lexus,SC,diesel,
9817074974,Jesus Brussels,06-fq-84,Saturn,Ion,diesel,
1165742224,Cori Shewon,39-eb-11,Dodge,Ram 3500,lpg,
778505639,Ulrich Shemmin,79-na-82,Nissan,Xterra,lpg,
7687155756,Celisse Duff,12-aw-95,Chevrolet,Suburban 2500,lpg,
